Id,Nombre,Apellido,Codigo De Vuelo, Tipo Pasajero, Estado Vuelo
461,Anthia,Sáez,GU2345F,37000.00,ExecutiveClass,En Vuelo
585,Horatius,Sáez,HY4567D,18000.00,FirstClass,Demorado
709,Hagan,Sáez,HY4567D,50000.00,EconomyClass,Demorado
833,Oby,Sáez,FR5678G,12000.00,EconomyClass,En Horario
957,Floyd,Sáez,MM0987B,15000.00,EconomyClass,En Horario
6,Gayle,Soto,MM0987B,30000.00,FirstClass,En Horario
130,Omero,Soto,BA2491A,10000.00,ExecutiveClass,Aterrizado
254,Morris,Soto,BA2491A,10000.00,EconomyClass,Aterrizado
378,Brigg,Soto,BA2491A,10000.00,EconomyClass,Aterrizado
502,Callie,Soto,GU2345F,50000.00,EconomyClass,En Vuelo
626,Menard,Soto,HY4567D,37000.00,ExecutiveClass,Demorado
750,Zsa zsa,Soto,FR5678G,20000.00,FirstClass,En Horario
874,Estella,Soto,FR5678G,20000.00,EconomyClass,En Horario
8,Henrieta,Silva,IB0800A,30000.00,FirstClass,Aterrizado
132,Dante,Silva,BA2491A,30000.00,ExecutiveClass,Aterrizado
256,Gusty,Silva,BA2491A,10000.00,EconomyClass,Aterrizado
380,Fran,Silva,BA2491A,30000.00,EconomyClass,Aterrizado
504,Karie,Silva,GU2345F,25000.00,EconomyClass,En Vuelo
628,Maddy,Silva,HY4567D,25000.00,ExecutiveClass,Demorado
752,Arch,Silva,FR5678G,33000.00,FirstClass,En Horario
876,Cecil,Silva,FR5678G,37000.00,EconomyClass,En Horario
10,Aggie,Sepúlveda,BA2491A,15000.00,FirstClass,Aterrizado
134,Stephenie,Sepúlveda,BA2491A,50000.00,ExecutiveClass,Aterrizado
258,Sydelle,Sepúlveda,BA2491A,30000.00,EconomyClass,Aterrizado
382,Alister,Sepúlveda,BA2491A,33000.00,EconomyClass,Aterrizado
506,Lothaire,Sepúlveda,GU2345F,20000.00,EconomyClass,En Vuelo
630,Lyndy,Sepúlveda,HY4567D,37000.00,ExecutiveClass,Demorado
754,Amber,Sepúlveda,FR5678G,42000.00,FirstClass,En Horario
878,Ralf,Sepúlveda,FR5678G,12000.00,EconomyClass,En Horario
86,Angie,Sanhueza,MM0987B,20000.00,FirstClass,En Horario
210,Sayres,Sanhueza,TU6789B,10000.00,FirstClass,Aterrizado
334,Isak,Sanhueza,TU6789B,20000.00,EconomyClass,Aterrizado
458,Kassi,Sanhueza,GU2345F,37000.00,ExecutiveClass,En Vuelo
582,Grier,Sanhueza,HY4567D,42000.00,FirstClass,Demorado
706,Lia,Sanhueza,HY4567D,20000.00,EconomyClass,Demorado
830,Cale,Sanhueza,FR5678G,50000.00,EconomyClass,En Horario
954,Laetitia,Sanhueza,MM0987B,33000.00,EconomyClass,En Horario
49,Dagmar,Sandoval,IB0800A,25000.00,FirstClass,Aterrizado
173,Brandon,Sandoval,IB0800A,18000.00,EconomyClass,Aterrizado
297,Ddene,Sandoval,TU6789B,12000.00,ExecutiveClass,Aterrizado
421,Neila,Sandoval,TU6789B,15000.00,EconomyClass,Aterrizado
545,Domini,Sandoval,GU2345F,18000.00,EconomyClass,En Vuelo
669,Beverlee,Sandoval,HY4567D,25000.00,EconomyClass,Demorado
793,Grayce,Sandoval,FR5678G,33000.00,ExecutiveClass,En Horario
917,Luis,Sandoval,MM0987B,12000.00,EconomyClass,En Horario
100,Georgeta,San Martín,IB0800A,10000.00,ExecutiveClass,Aterrizado
224,Zonda,San Martín,TU6789B,33000.00,FirstClass,Aterrizado
348,Jefferey,San Martín,TU6789B,33000.00,EconomyClass,Aterrizado
472,Saidee,San Martín,GU2345F,50000.00,ExecutiveClass,En Vuelo
596,Dylan,San Martín,HY4567D,30000.00,FirstClass,Demorado
720,Jennie,San Martín,IB0800A,42000.00,EconomyClass,Aterrizado
844,Bella,San Martín,FR5678G,18000.00,EconomyClass,En Horario
968,Berenice,San Martín,IB0800A,10000.00,EconomyClass,Aterrizado
75,Solomon,Salinas,IB0800A,10000.00,ExecutiveClass,Aterrizado
199,Eliot,Salinas,BA2491A,12000.00,EconomyClass,Aterrizado
323,Hilary,Salinas,BA2491A,37000.00,EconomyClass,Aterrizado
447,Guy,Salinas,GU2345F,42000.00,ExecutiveClass,En Vuelo
571,Carma,Salinas,GU2345F,33000.00,EconomyClass,En Vuelo
695,Justino,Salinas,HY4567D,18000.00,EconomyClass,Demorado
819,Roch,Salinas,FR5678G,33000.00,EconomyClass,En Horario
943,Loria,Salinas,IB0800A,25000.00,EconomyClass,Aterrizado
57,Homer,Salazar,MM0987B,18000.00,FirstClass,En Horario
181,Guillaume,Salazar,MM0987B,37000.00,ExecutiveClass,En Horario
305,Jacinda,Salazar,TU6789B,50000.00,EconomyClass,Aterrizado
429,Coleman,Salazar,GU2345F,25000.00,FirstClass,En Vuelo
553,Lynett,Salazar,GU2345F,37000.00,EconomyClass,En Vuelo
677,Galen,Salazar,HY4567D,50000.00,EconomyClass,Demorado
801,Janine,Salazar,FR5678G,50000.00,ExecutiveClass,En Horario
925,Wittie,Salazar,BR3456J,37000.00,ExecutiveClass,Demorado
60,Kori,Saavedra,MM0987B,50000.00,FirstClass,En Horario
184,Eric,Saavedra,MM0987B,50000.00,ExecutiveClass,En Horario
308,Davide,Saavedra,TU6789B,42000.00,EconomyClass,Aterrizado
432,Wade,Saavedra,GU2345F,12000.00,FirstClass,En Vuelo
556,Aeriela,Saavedra,GU2345F,37000.00,EconomyClass,En Vuelo
680,Flore,Saavedra,HY4567D,30000.00,EconomyClass,Demorado
804,Earle,Saavedra,FR5678G,30000.00,ExecutiveClass,En Horario
928,Hayden,Saavedra,BR3456J,30000.00,EconomyClass,Demorado
72,Katrine,Ruiz,IB0800A,25000.00,FirstClass,Aterrizado
111,Petey,Ruiz,IB0800A,15000.00,ExecutiveClass,Aterrizado
196,Otho,Ruiz,BA2491A,20000.00,ExecutiveClass,Aterrizado
235,Hiram,Ruiz,BA2491A,20000.00,EconomyClass,Aterrizado
320,Donaugh,Ruiz,BA2491A,12000.00,EconomyClass,Aterrizado
359,Tully,Ruiz,TU6789B,18000.00,EconomyClass,Aterrizado
444,Chrissy,Ruiz,GU2345F,18000.00,ExecutiveClass,En Vuelo
483,Micheil,Ruiz,GU2345F,37000.00,EconomyClass,En Vuelo
568,Modesta,Ruiz,GU2345F,33000.00,EconomyClass,En Vuelo
607,Lydia,Ruiz,HY4567D,15000.00,ExecutiveClass,Demorado
692,Zorina,Ruiz,HY4567D,18000.00,EconomyClass,Demorado
731,Cassandry,Ruiz,IB0800A,33000.00,EconomyClass,Aterrizado
816,Michele,Ruiz,FR5678G,42000.00,EconomyClass,En Horario
855,Vassili,Ruiz,FR5678G,33000.00,EconomyClass,En Horario
940,Josefina,Ruiz,IB0800A,30000.00,EconomyClass,Aterrizado
979,Libbey,Ruiz,BA2491A,42000.00,EconomyClass,Aterrizado
64,Gabbey,Romero,MM0987B,37000.00,FirstClass,En Horario
117,Cherrita,Romero,MM0987B,33000.00,ExecutiveClass,En Horario
188,Scarface,Romero,MM0987B,50000.00,ExecutiveClass,En Horario
241,Alexandra,Romero,TU6789B,42000.00,FirstClass,Aterrizado
312,Lenci,Romero,TU6789B,42000.00,EconomyClass,Aterrizado
365,Neely,Romero,TU6789B,20000.00,EconomyClass,Aterrizado
436,Felicdad,Romero,GU2345F,18000.00,FirstClass,En Vuelo
489,Dorothea,Romero,GU2345F,15000.00,EconomyClass,En Vuelo
560,Hesther,Romero,GU2345F,15000.00,EconomyClass,En Vuelo
613,Evin,Romero,HY4567D,12000.00,ExecutiveClass,Demorado
684,Sly,Romero,HY4567D,42000.00,EconomyClass,Demorado
737,Keith,Romero,FR5678G,20000.00,FirstClass,En Horario
808,Emanuel,Romero,FR5678G,30000.00,EconomyClass,En Horario
861,Pietrek,Romero,FR5678G,25000.00,EconomyClass,En Horario
932,Debby,Romero,IB0800A,18000.00,EconomyClass,Aterrizado
985,Erna,Romero,BA2491A,33000.00,EconomyClass,Aterrizado
996,Atalanta,Romero,MM0987B,37000.00,EconomyClass,En Horario
3,Brade,Rojas,MM0987B,20000.00,FirstClass,En Horario
127,Cindelyn,Rojas,IB0800A,12000.00,EconomyClass,Aterrizado
251,Jenna,Rojas,TU6789B,30000.00,ExecutiveClass,Aterrizado
375,Nanni,Rojas,BA2491A,25000.00,EconomyClass,Aterrizado
499,Bibbie,Rojas,GU2345F,37000.00,EconomyClass,En Vuelo
623,Dorotea,Rojas,HY4567D,10000.00,ExecutiveClass,Demorado
747,Graehme,Rojas,FR5678G,18000.00,FirstClass,En Horario
871,Phelia,Rojas,FR5678G,33000.00,EconomyClass,En Horario
12,Cordelie,Rodríguez,IB0800A,50000.00,FirstClass,Aterrizado
103,Desiri,Rodríguez,MM0987B,25000.00,ExecutiveClass,En Horario
136,Gideon,Rodríguez,BA2491A,15000.00,ExecutiveClass,Aterrizado
227,Adel,Rodríguez,TU6789B,30000.00,FirstClass,Aterrizado
260,Tadd,Rodríguez,TU6789B,50000.00,ExecutiveClass,Aterrizado
351,Heddi,Rodríguez,TU6789B,20000.00,EconomyClass,Aterrizado
384,Nonnah,Rodríguez,TU6789B,25000.00,EconomyClass,Aterrizado
475,Coletta,Rodríguez,GU2345F,50000.00,ExecutiveClass,En Vuelo
508,Lin,Rodríguez,MM0987B,12000.00,EconomyClass,En Horario
599,Howard,Rodríguez,HY4567D,18000.00,FirstClass,Demorado
632,Josepha,Rodríguez,HY4567D,20000.00,EconomyClass,Demorado
723,Darlene,Rodríguez,IB0800A,42000.00,EconomyClass,Aterrizado
756,Kaitlynn,Rodríguez,FR5678G,15000.00,FirstClass,En Horario
847,Estella,Rodríguez,FR5678G,42000.00,EconomyClass,En Horario
880,Josi,Rodríguez,FR5678G,18000.00,EconomyClass,En Horario
971,Mercedes,Rodríguez,IB0800A,12000.00,EconomyClass,Aterrizado
39,Alfredo,Rivera,MM0987B,10000.00,FirstClass,En Horario
163,Pascale,Rivera,IB0800A,15000.00,EconomyClass,Aterrizado
287,Ofelia,Rivera,BA2491A,30000.00,EconomyClass,Aterrizado
411,Frayda,Rivera,TU6789B,30000.00,EconomyClass,Aterrizado
535,Frans,Rivera,BA2491A,33000.00,EconomyClass,Aterrizado
659,Willdon,Rivera,HY4567D,10000.00,EconomyClass,Demorado
783,Crosby,Rivera,FR5678G,12000.00,ExecutiveClass,En Horario
907,Tabb,Rivera,BR3456J,50000.00,ExecutiveClass,Demorado
41,Brnaba,Riquelme,MM0987B,30000.00,FirstClass,En Horario
165,Sib,Riquelme,IB0800A,33000.00,EconomyClass,Aterrizado
289,Dulcea,Riquelme,BA2491A,25000.00,EconomyClass,Aterrizado
413,Clair,Riquelme,TU6789B,42000.00,EconomyClass,Aterrizado
537,Ced,Riquelme,BA2491A,20000.00,EconomyClass,Aterrizado
661,Shermie,Riquelme,HY4567D,12000.00,EconomyClass,Demorado
785,Francine,Riquelme,FR5678G,42000.00,ExecutiveClass,En Horario
909,Leo,Riquelme,MM0987B,42000.00,EconomyClass,En Horario
23,Johnny,Reyes,MM0987B,33000.00,FirstClass,En Horario
147,Gustie,Reyes,IB0800A,42000.00,EconomyClass,Aterrizado
271,Larina,Reyes,TU6789B,18000.00,ExecutiveClass,Aterrizado
395,Livy,Reyes,MM0987B,20000.00,ExecutiveClass,En Horario
519,Ethe,Reyes,GU2345F,20000.00,EconomyClass,En Vuelo
643,Neron,Reyes,HY4567D,42000.00,EconomyClass,Demorado
767,Brynne,Reyes,FR5678G,18000.00,ExecutiveClass,En Horario
891,Conant,Reyes,FR5678G,37000.00,EconomyClass,En Horario
31,Franny,Ramírez,IB0800A,15000.00,FirstClass,Aterrizado
155,Osbert,Ramírez,IB0800A,42000.00,EconomyClass,Aterrizado
279,Alberik,Ramírez,TU6789B,50000.00,ExecutiveClass,Aterrizado
403,Bar,Ramírez,TU6789B,20000.00,EconomyClass,Aterrizado
527,Eveline,Ramírez,GU2345F,37000.00,EconomyClass,En Vuelo
651,Thorndike,Ramírez,HY4567D,10000.00,EconomyClass,Demorado
775,Wilie,Ramírez,FR5678G,30000.00,ExecutiveClass,En Horario
899,Martelle,Ramírez,BR3456J,15000.00,FirstClass,Demorado
124,Pen,Ramos,IB0800A,18000.00,EconomyClass,Aterrizado
248,Maynard,Ramos,TU6789B,18000.00,ExecutiveClass,Aterrizado
372,Andy,Ramos,TU6789B,37000.00,EconomyClass,Aterrizado
496,Conrado,Ramos,GU2345F,50000.00,EconomyClass,En Vuelo
620,Lissy,Ramos,HY4567D,37000.00,ExecutiveClass,Demorado
744,Melonie,Ramos,FR5678G,33000.00,FirstClass,En Horario
868,Trumaine,Ramos,FR5678G,42000.00,EconomyClass,En Horario
992,Trenna,Ramos,MM0987B,10000.00,EconomyClass,En Horario
5,Sheelagh,Pérez,IB0800A,18000.00,FirstClass,Aterrizado
107,Gaven,Pérez,MM0987B,10000.00,ExecutiveClass,En Horario
129,Vina,Pérez,BA2491A,42000.00,ExecutiveClass,Aterrizado
231,Marmaduke,Pérez,BA2491A,10000.00,EconomyClass,Aterrizado
253,Norene,Pérez,BA2491A,25000.00,EconomyClass,Aterrizado
355,Wilfred,Pérez,TU6789B,20000.00,EconomyClass,Aterrizado
377,Hussein,Pérez,BA2491A,25000.00,EconomyClass,Aterrizado
479,Benita,Pérez,GU2345F,25000.00,EconomyClass,En Vuelo
501,Gabi,Pérez,GU2345F,30000.00,EconomyClass,En Vuelo
603,Cahra,Pérez,HY4567D,50000.00,ExecutiveClass,Demorado
625,Tonya,Pérez,HY4567D,37000.00,ExecutiveClass,Demorado
727,Rickie,Pérez,IB0800A,42000.00,EconomyClass,Aterrizado
749,Carola,Pérez,FR5678G,10000.00,FirstClass,En Horario
851,Sidoney,Pérez,FR5678G,20000.00,EconomyClass,En Horario
873,Thomasa,Pérez,FR5678G,18000.00,EconomyClass,En Horario
975,Aleksandr,Pérez,IB0800A,42000.00,EconomyClass,Aterrizado
92,Lonni,Poblete,MM0987B,50000.00,ExecutiveClass,En Horario
216,Nikoletta,Poblete,TU6789B,12000.00,FirstClass,Aterrizado
340,Melloney,Poblete,TU6789B,33000.00,EconomyClass,Aterrizado
464,Liana,Poblete,GU2345F,15000.00,ExecutiveClass,En Vuelo
588,Lynnette,Poblete,HY4567D,37000.00,FirstClass,Demorado
712,Matelda,Poblete,HY4567D,18000.00,EconomyClass,Demorado
836,Keene,Poblete,FR5678G,25000.00,EconomyClass,En Horario
960,Zitella,Poblete,BR3456J,42000.00,EconomyClass,Demorado
26,Karim,Pizarro,MM0987B,25000.00,FirstClass,En Horario
150,Dot,Pizarro,IB0800A,18000.00,EconomyClass,Aterrizado
274,Dyann,Pizarro,TU6789B,50000.00,ExecutiveClass,Aterrizado
398,Easter,Pizarro,MM0987B,30000.00,ExecutiveClass,En Horario
522,Charles,Pizarro,GU2345F,42000.00,EconomyClass,En Vuelo
646,Arlie,Pizarro,HY4567D,42000.00,EconomyClass,Demorado
770,Barbey,Pizarro,FR5678G,20000.00,ExecutiveClass,En Horario
